NAME,H INDEX,IMPACT FACTOR
"Proceedings of WORKS 2014: The 9th Workshop on Workflows in Support of Large-Scale Science - held in conjunction with SC 2014: The International Conference for High Performance Computing, Networking, Storage and Analysis",1,1.2838979064629026
"2015 IEEE Energy Conversion Congress and Exposition, ECCE 2015",13,1.5296731399862133
"Uncertainty in Artificial Intelligence - Proceedings of the 30th Conference, UAI 2014",10,1.4682293316053858
"CPP 2016 - Proceedings of the 5th ACM SIGPLAN Conference on Certified Programs and Proofs, co-located with POPL 2016",4,1.3453417148437303
Proceedings - Euromicro Conference on Real-Time Systems,49,2.2669988405561456
"2014 IEEE World Forum on Internet of Things, WF-IoT 2014",17,1.611598217827317
"Proceedings - 2015 IEEE International Symposium on Predictive Control of Electrical Drives and Power Electronics, PRECEDE 2015",5,1.3658229843040062
"12th IEEE International Symposium on Safety, Security and Rescue Robotics, SSRR 2014 - Symposium Proceedings",1,1.2838979064629026
"ICASSP, IEEE International Conference on Acoustics, Speech and Signal Processing - Proceedings",119,3.7006877027754586
"Proceedings of the 17th International Conference on Advanced Robotics, ICAR 2015",6,1.386304253764282
"2014 52nd Annual Allerton Conference on Communication, Control, and Computing, Allerton 2014",6,1.386304253764282
"2015 14th International Conference on ITS Telecommunications, ITST 2015",2,1.3043791759231786
"Proceedings of 2015 International Conference on Biometrics, ICB 2015",9,1.4477480621451098
"Proceedings - 2014 International Workshop on Secure Internet of Things, SIoT 2014",2,1.3043791759231786
COSN 2014 - Proceedings of the 2014 ACM Conference on Online Social Networks,7,1.406785523224558
"Proceedings of the 15th International Middleware Conference, Middleware 2014",9,1.4477480621451098
Proceedings of the International Conference on Dependable Systems and Networks,56,2.4103677267780768
HSCC 2016 - Proceedings of the 19th International Conference on Hybrid Systems: Computation and Control,5,1.3658229843040062
"13th Workshop on Analytic Algorithmics and Combinatorics 2016, ANALCO 2016",2,1.3043791759231786
HotWireless 2014 - Proceedings of the 1st ACM MobiCom Workshop on Hot Topics in Wireless,5,1.3658229843040062
"2014 IEEE International Conference on Pervasive Computing and Communications, PerCom 2014",14,1.5501544094464892
ISPASS 2015 - IEEE International Symposium on Performance Analysis of Systems and Software,5,1.3658229843040062
"Proceedings of the 19th International Workshop on Web and Databases, WebDB 2016",2,1.3043791759231786
"2015 IEEE Power and Energy Society Innovative Smart Grid Technologies Conference, ISGT 2015",10,1.4682293316053858
"2016 IEEE Winter Conference on Applications of Computer Vision, WACV 2016",10,1.4682293316053858
"WCPR 2014 - Proceedings of the 2014 Workshop on Computational Personality Recognition, Workshop of MM 2014",5,1.3658229843040062
"Proceedings of the 7th ACM Symposium on Cloud Computing, SoCC 2016",5,1.3658229843040062
"Proceedings of the Conference on Object-Oriented Programming Systems, Languages, and Applications, OOPSLA",67,2.635661690841112
"2015 Tyrrhenian International Workshop on Digital Communications, TIWDC 2015",3,1.3248604453834545
"Proceedings of the 15th Workshop on Mobile Computing Systems and Applications, HotMobile 2014",10,1.4682293316053858
CODASPY 2015 - Proceedings of the 5th ACM Conference on Data and Application Security and Privacy,8,1.427266792684834
"2014 52nd Annual Allerton Conference on Communication, Control, and Computing, Allerton 2014",11,1.4887106010656617
"2015 IEEE 1st International Conference on Direct Current Microgrids, ICDCM 2015",9,1.4477480621451098
"2016 Joint International EUROSOI Workshop and International Conference on Ultimate Integration on Silicon, EUROSOI-ULIS 2016",4,1.3453417148437303
VEE 2015 - Proceedings of the 11th ACM SIGPLAN/SIGOPS International Conference on Virtual Execution Environments,2,1.3043791759231786
"IEEE SSCI 2014 - 2014 IEEE Symposium Series on Computational Intelligence - CIEL 2014: 2014 IEEE Symposium on Computational Intelligence in Ensemble Learning, Proceedings",3,1.3248604453834545
"AutomotiveUI 2014 - 6th International Conference on Automotive User Interfaces and Interactive Vehicular Applications, in Cooperation with ACM SIGCHI - Proceedings",6,1.386304253764282
Proceedings - International Conference on Software Engineering,118,3.680206433315183
EuCNC 2014 - European Conference on Networks and Communications,10,1.4682293316053858
"19th Power Systems Computation Conference, PSCC 2016",5,1.3658229843040062
"Proceedings - 2015 International Symposium on Theoretical Aspects of Software Engineering, TASE 2015",1,1.2838979064629026
"2014 IEEE International Workshop on Information Forensics and Security, WIFS 2014",7,1.406785523224558
Frontiers in Statistical Quality Control 10,3,1.3248604453834545
"IEEE Conference on Computatonal Intelligence and Games, CIG",11,1.4887106010656617
"New Avenues for Electronic Publishing in the Age of Infinite Collections and Citizen Science: Scale, Openness and Trust - Proceedings of the 19th International Conference on Electronic Publishing, Elpub 2015",2,1.3043791759231786
"2014 IEEE PES Innovative Smart Grid Technologies Conference, ISGT 2014",10,1.4682293316053858
"2015 Proceedings of the International Conference on Embedded Software, EMSOFT 2015",5,1.3658229843040062
Proceedings - Winter Simulation Conference,45,2.1850737627150423
"2014 IEEE Global Communications Conference, GLOBECOM 2014",20,1.6730420262081447
"2015 IEEE International Conference on RFID, RFID 2015",8,1.427266792684834
"Proceedings of International Conference on Frontiers in Handwriting Recognition, ICFHR",13,1.5296731399862133
Proceedings of the ACM SIGSOFT Symposium on the Foundations of Software Engineering,19,1.6525607567478688
"Expressive 2015: Joint Symposium of Computational Aesthetics, CAe, Non-Photorealistic Animation and Rendering, NPAR, Sketch-Based Interfaces and Modeling, SBIM",2,1.3043791759231786
"Proceedings - 14th IEEE/ACM International Symposium on Cluster, Cloud, and Grid Computing, CCGrid 2014",14,1.5501544094464892
"Parallel Architectures and Compilation Techniques - Conference Proceedings, PACT",59,2.4718115351589045
"Proceedings - 10th International Symposium on Software Engineering for Adaptive and Self-Managing Systems, SEAMS 2015",8,1.427266792684834
"2014 Information Theory and Applications Workshop, ITA 2014 - Conference Proceedings",8,1.427266792684834
SenSys 2014 - Proceedings of the 12th ACM Conference on Embedded Networked Sensor Systems,11,1.4887106010656617
"Leibniz International Proceedings in Informatics, LIPIcs",26,1.7959296429698002
"IEEE Workshop on Signal Processing Advances in Wireless Communications, SPAWC",30,1.8778547208109035
"2016 IEEE International Conference on Computational Photography, ICCP 2016 - Proceedings",4,1.3453417148437303
"Proceedings of the 10th AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment, AIIDE 2014",5,1.3658229843040062
"IEEE/ACM International Conference on Computer-Aided Design, Digest of Technical Papers",80,2.9019181938246987
"2015 European Control Conference, ECC 2015",9,1.4477480621451098
"2015 4th International Workshop on Optical Wireless Communications, IWOW 2015",6,1.386304253764282
"2016 IEEE Information Theory Workshop, ITW 2016",4,1.3453417148437303
